0:0:0:0:0:0:0:1 - - [06/Jul/2018:13:44:48 +0530] "GET /toursandtravelsmanagement/TripPlaces/london.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Jul/2018:13:45:05 +0530] "GET /toursandtravelsmanagement/TripPlaces/london.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Jul/2018:13:45:06 +0530] "GET /toursandtravelsmanagement/TripPlaces/london.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Jul/2018:13:45:06 +0530] "GET /toursandtravelsmanagement/TripPlaces/london.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Jul/2018:13:45:06 +0530] "GET /toursandtravelsmanagement/TripPlaces/london.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Jul/2018:13:45:06 +0530] "GET /toursandtravelsmanagement/TripPlaces/london.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Jul/2018:13:45:07 +0530] "GET /toursandtravelsmanagement/TripPlaces/london.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Jul/2018:13:45:07 +0530] "GET /toursandtravelsmanagement/TripPlaces/london.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Jul/2018:13:45:07 +0530] "GET /toursandtravelsmanagement/TripPlaces/london.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Jul/2018:13:45:07 +0530] "GET /toursandtravelsmanagement/TripPlaces/london.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:53 +0530] "GET /toursandtravelsmanagement/index.jsp HTTP/1.1" 200 21901
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/images/c2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/images/c1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/js/responsiveslides.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/js/jquery.countup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:22:54 +0530] "GET /toursandtravelsmanagement/js/SmoothScroll.min.js HTTP/1.1" 304 -
